model,name,layer,proj_type,shape_m,s1,s2,pr,alpha_hill,dmin_5pct,dmin_10pct,dmin_20pct,dmin_50pct
mistralai/Mistral-7B-v0.3,layer_0.q_proj,0,q_proj,4096,3.3381617069244385,2.437041759490967,11.439150880803709,3.034898042678833,491,221,86,13
mistralai/Mistral-7B-v0.3,layer_0.k_proj,0,k_proj,1024,3.4872498512268066,2.701585531234741,14.903342717323874,3.357238531112671,377,175,68,17
mistralai/Mistral-7B-v0.3,layer_0.v_proj,0,v_proj,1024,6.286822319030762,5.943840980529785,381.3970584117698,9.669333457946777,965,854,646,292
mistralai/Mistral-7B-v0.3,layer_0.o_proj,0,o_proj,4096,7.084325790405273,6.466272830963135,643.0823779009753,7.163089275360107,3080,2554,1822,628
mistralai/Mistral-7B-v0.3,layer_0.gate_proj,0,gate_proj,4096,7.528057098388672,6.853718280792236,947.3970538772497,11.94451904296875,3906,3585,2872,1160
mistralai/Mistral-7B-v0.3,layer_0.up_proj,0,up_proj,4096,7.804792881011963,7.427358627319336,1681.3606029361054,14.50513744354248,3931,3651,3014,1421
mistralai/Mistral-7B-v0.3,layer_0.down_proj,0,down_proj,4096,8.048721313476562,7.773569583892822,2376.940852733955,8.011754989624023,4028,3872,3432,1925
mistralai/Mistral-7B-v0.3,layer_1.q_proj,1,q_proj,4096,6.0042195320129395,5.175192356109619,176.83062545637264,6.440244674682617,1763,1261,756,215
mistralai/Mistral-7B-v0.3,layer_1.k_proj,1,k_proj,1024,5.290796756744385,4.687102794647217,108.53826619718583,6.655396461486816,624,464,298,105
mistralai/Mistral-7B-v0.3,layer_1.v_proj,1,v_proj,1024,6.639834403991699,6.442131519317627,627.7434220179422,50.4802131652832,1002,953,825,445
mistralai/Mistral-7B-v0.3,layer_1.o_proj,1,o_proj,4096,7.549417495727539,7.102288722991943,1214.7441081195684,7.062565803527832,3354,2934,2304,1078
mistralai/Mistral-7B-v0.3,layer_1.gate_proj,1,gate_proj,4096,7.773499965667725,7.199966907501221,1339.3864400168884,8.903608322143555,3956,3727,3159,1500
mistralai/Mistral-7B-v0.3,layer_1.up_proj,1,up_proj,4096,7.959244728088379,7.685775279998779,2177.1572259269956,32.5789794921875,3971,3767,3252,1691
mistralai/Mistral-7B-v0.3,layer_1.down_proj,1,down_proj,4096,8.122968673706055,7.958711624145508,2860.3853261034506,10.087626457214355,4033,3894,3494,2058
mistralai/Mistral-7B-v0.3,layer_2.q_proj,2,q_proj,4096,7.307407855987549,6.786240100860596,885.5776118422324,7.49778938293457,3081,2602,1944,824
mistralai/Mistral-7B-v0.3,layer_2.k_proj,2,k_proj,1024,6.433184623718262,6.147036075592041,467.3302006522306,8.59361457824707,935,840,682,357
mistralai/Mistral-7B-v0.3,layer_2.v_proj,2,v_proj,1024,6.699291229248047,6.540863513946533,692.8846353298686,32.776344299316406,1005,959,843,481
mistralai/Mistral-7B-v0.3,layer_2.o_proj,2,o_proj,4096,7.539924144744873,7.089537143707275,1199.3525442465032,8.294132232666016,3351,2933,2306,1066
mistralai/Mistral-7B-v0.3,layer_2.gate_proj,2,gate_proj,4096,8.013296127319336,7.676888942718506,2157.895980218177,8.13943862915039,4005,3845,3394,1860
mistralai/Mistral-7B-v0.3,layer_2.up_proj,2,up_proj,4096,8.100229263305664,7.93996524810791,2807.262948906349,15.563949584960938,4011,3863,3442,1974
mistralai/Mistral-7B-v0.3,layer_2.down_proj,2,down_proj,4096,8.078741073608398,7.853723526000977,2575.3057038707234,11.38389778137207,4032,3887,3468,1980
mistralai/Mistral-7B-v0.3,layer_3.q_proj,3,q_proj,4096,7.125422954559326,6.3935699462890625,597.9875571478353,6.627971649169922,2975,2494,1837,721
mistralai/Mistral-7B-v0.3,layer_3.k_proj,3,k_proj,1024,6.1928391456604,5.748352527618408,313.6734659989503,8.09582233428955,887,788,621,275
mistralai/Mistral-7B-v0.3,layer_3.v_proj,3,v_proj,1024,6.751290798187256,6.610673904418945,742.9835499400866,30.884761810302734,1010,977,879,522
mistralai/Mistral-7B-v0.3,layer_3.o_proj,3,o_proj,4096,7.660422325134277,7.315371513366699,1503.2301624126287,11.474674224853516,3419,3032,2440,1209
mistralai/Mistral-7B-v0.3,layer_3.gate_proj,3,gate_proj,4096,8.009095191955566,7.651400089263916,2103.5887406136344,9.259387969970703,4017,3865,3428,1891
mistralai/Mistral-7B-v0.3,layer_3.up_proj,3,up_proj,4096,8.119150161743164,7.968050956726074,2887.2245511136325,16.78954315185547,4022,3884,3482,2029
mistralai/Mistral-7B-v0.3,layer_3.down_proj,3,down_proj,4096,8.075030326843262,7.867745876312256,2611.671916618798,10.929167747497559,4028,3877,3449,1950
mistralai/Mistral-7B-v0.3,layer_4.q_proj,4,q_proj,4096,7.175013065338135,6.549641132354736,698.9932827268035,8.154560089111328,3094,2602,1913,730
mistralai/Mistral-7B-v0.3,layer_4.k_proj,4,k_proj,1024,6.296075344085693,5.936081409454346,378.4490333260852,11.142629623413086,939,841,662,298
mistralai/Mistral-7B-v0.3,layer_4.v_proj,4,v_proj,1024,6.707758903503418,6.544593811035156,695.4741276528715,29.409244537353516,1008,969,858,488
mistralai/Mistral-7B-v0.3,layer_4.o_proj,4,o_proj,4096,7.533590793609619,7.125004291534424,1242.6534999338244,10.785954475402832,3358,2939,2306,1055
mistralai/Mistral-7B-v0.3,layer_4.gate_proj,4,gate_proj,4096,7.9919023513793945,7.528670310974121,1860.6297989377806,6.12297248840332,4023,3874,3442,1903
mistralai/Mistral-7B-v0.3,layer_4.up_proj,4,up_proj,4096,8.136088371276855,7.996044158935547,2969.189084326811,13.391921997070312,4028,3895,3506,2076
mistralai/Mistral-7B-v0.3,layer_4.down_proj,4,down_proj,4096,8.099203109741211,7.913608074188232,2734.2380239371223,10.639788627624512,4033,3891,3480,2003
mistralai/Mistral-7B-v0.3,layer_5.q_proj,5,q_proj,4096,7.30805778503418,6.736352920532227,842.4825253037885,8.507322311401367,3178,2708,2041,844
mistralai/Mistral-7B-v0.3,layer_5.k_proj,5,k_proj,1024,6.389206409454346,6.047097682952881,422.88390408715924,9.843679428100586,951,863,703,340
mistralai/Mistral-7B-v0.3,layer_5.v_proj,5,v_proj,1024,6.764758586883545,6.638589382171631,764.0164972340161,22.325952529907227,1010,976,879,530
mistralai/Mistral-7B-v0.3,layer_5.o_proj,5,o_proj,4096,7.64964485168457,7.333060264587402,1530.0569938689193,12.228713035583496,3403,3009,2411,1183
mistralai/Mistral-7B-v0.3,layer_5.gate_proj,5,gate_proj,4096,7.982532501220703,7.521435737609863,1847.217510743921,9.166545867919922,4020,3866,3425,1869
mistralai/Mistral-7B-v0.3,layer_5.up_proj,5,up_proj,4096,8.135385513305664,7.994711875915527,2965.2359180794006,15.0072021484375,4027,3892,3502,2076
mistralai/Mistral-7B-v0.3,layer_5.down_proj,5,down_proj,4096,8.080282211303711,7.878442287445068,2639.7573721943986,12.722009658813477,4022,3869,3444,1963
mistralai/Mistral-7B-v0.3,layer_6.q_proj,6,q_proj,4096,7.2586283683776855,6.65073299407959,773.3509795222046,7.350022792816162,3150,2675,1998,795
mistralai/Mistral-7B-v0.3,layer_6.k_proj,6,k_proj,1024,6.342835903167725,5.9885172843933105,398.82283048015825,8.344381332397461,939,841,672,317
mistralai/Mistral-7B-v0.3,layer_6.v_proj,6,v_proj,1024,6.724244594573975,6.567438125610352,711.5446181981824,25.92655372619629,1007,969,863,503
mistralai/Mistral-7B-v0.3,layer_6.o_proj,6,o_proj,4096,7.581958770751953,7.230006217956543,1380.2310862772845,16.066129684448242,3368,2955,2334,1097
mistralai/Mistral-7B-v0.3,layer_6.gate_proj,6,gate_proj,4096,8.027545928955078,7.649353981018066,2099.288970742986,8.737268447875977,4025,3876,3446,1917
mistralai/Mistral-7B-v0.3,layer_6.up_proj,6,up_proj,4096,8.133996963500977,7.988090515136719,2945.6668795995624,17.694833755493164,4031,3898,3509,2077
