name,layer,proj_type,s1_eff,s2_eff,chol_triangular,chol_damp,dmin_eff_5pct,dmin_eff_10pct,dmin_eff_20pct,dmin_eff_50pct
layer_0.q_proj,0,q_proj,0.28449496626853943,0.10252486914396286,True,1e-06,9,4,2,1
layer_0.k_proj,0,k_proj,0.34366628527641296,0.1306673139333725,True,1e-06,9,5,2,1
layer_0.v_proj,0,v_proj,4.292556285858154,3.006239652633667,True,1e-06,464,321,214,52
layer_0.o_proj,0,o_proj,3.813746452331543,1.8899025917053223,True,1e-06,879,580,324,44
layer_0.gate_proj,0,gate_proj,4.945032596588135,3.026564598083496,True,1e-06,2514,1660,782,93
layer_0.up_proj,0,up_proj,5.693762302398682,3.9031033515930176,True,1e-06,2844,2058,1171,192
layer_0.down_proj,0,down_proj,1.2825928926467896,0.337417870759964,True,1e-06,2821,1647,345,1
layer_1.q_proj,1,q_proj,0.5160451531410217,0.15277385711669922,True,9.990234375e-07,79,34,5,1
layer_1.k_proj,1,k_proj,0.5175967216491699,0.15563105046749115,True,9.990234375e-07,57,30,5,1
layer_1.v_proj,1,v_proj,4.960909843444824,3.879525899887085,True,9.990234375e-07,771,563,344,84
layer_1.o_proj,1,o_proj,5.228911876678467,3.1023213863372803,True,1e-06,2265,1636,939,164
layer_1.gate_proj,1,gate_proj,5.215217590332031,2.5640482902526855,True,1e-06,3198,2439,1425,208
layer_1.up_proj,1,up_proj,6.565816402435303,4.878367900848389,True,1e-06,3424,2793,1869,491
layer_1.down_proj,1,down_proj,0.20585395395755768,0.1033201739192009,True,1e-06,2,2,2,1
layer_2.q_proj,2,q_proj,1.4452449083328247,0.42739900946617126,True,1e-06,985,412,85,1
layer_2.k_proj,2,k_proj,1.7672728300094604,0.5676197409629822,True,1e-06,505,300,110,1
layer_2.v_proj,2,v_proj,5.3989763259887695,4.0533671379089355,True,1e-06,939,811,579,158
layer_2.o_proj,2,o_proj,4.920483112335205,2.658158779144287,True,1e-06,2512,1836,1027,129
layer_2.gate_proj,2,gate_proj,5.948929309844971,3.1463122367858887,True,1e-06,3649,3114,2164,488
layer_2.up_proj,2,up_proj,6.894805908203125,4.951874732971191,True,1e-06,3738,3297,2459,804
layer_2.down_proj,2,down_proj,6.924241065979004,4.6956706047058105,True,1e-06,3925,3584,2802,952
layer_3.q_proj,3,q_proj,0.8929389119148254,0.25218841433525085,True,1e-06,756,220,25,1
layer_3.k_proj,3,k_proj,1.2293524742126465,0.40669697523117065,True,1e-06,366,166,42,1
layer_3.v_proj,3,v_proj,5.712341785430908,4.586950302124023,True,1e-06,969,866,648,201
layer_3.o_proj,3,o_proj,5.394626617431641,2.867833375930786,True,1e-06,2713,2078,1281,238
layer_3.gate_proj,3,gate_proj,5.852105617523193,2.9616105556488037,True,1e-06,3720,3196,2210,452
layer_3.up_proj,3,up_proj,6.949281215667725,5.046942710876465,True,1e-06,3812,3404,2570,835
layer_3.down_proj,3,down_proj,7.2563910484313965,4.916351795196533,True,1e-06,3955,3666,2975,1207
layer_4.q_proj,4,q_proj,1.3011239767074585,0.38094252347946167,True,1e-06,1141,437,77,1
layer_4.k_proj,4,k_proj,1.476867437362671,0.4736087918281555,True,1e-06,484,255,82,1
layer_4.v_proj,4,v_proj,5.81105899810791,4.85148811340332,True,1e-06,971,868,653,210
layer_4.o_proj,4,o_proj,5.456902980804443,3.2989675998687744,True,1e-06,2614,1941,1128,195
layer_4.gate_proj,4,gate_proj,5.107938766479492,2.2335007190704346,True,1e-06,3723,3156,2088,270
layer_4.up_proj,4,up_proj,6.925123691558838,4.931600570678711,True,1e-06,3860,3482,2668,866
layer_4.down_proj,4,down_proj,7.366772651672363,5.468681812286377,True,1e-06,3965,3690,3017,1238
layer_5.q_proj,5,q_proj,1.5454926490783691,0.4489704966545105,True,1e-06,1522,721,150,1
layer_5.k_proj,5,k_proj,1.7512677907943726,0.596199095249176,True,1e-06,601,344,109,2
layer_5.v_proj,5,v_proj,5.965075492858887,4.88163423538208,True,1e-06,987,911,730,269
layer_5.o_proj,5,o_proj,6.154574394226074,4.266148567199707,True,1e-06,2925,2328,1536,379
layer_5.gate_proj,5,gate_proj,4.844576358795166,1.931955337524414,True,1e-06,3708,3123,2025,239
layer_5.up_proj,5,up_proj,6.893270015716553,4.832122802734375,True,1e-06,3864,3493,2679,848
layer_5.down_proj,5,down_proj,7.312902450561523,5.32879114151001,True,1e-06,3946,3655,2964,1184
layer_6.q_proj,6,q_proj,1.4833048582077026,0.4388624131679535,True,1e-06,1352,581,121,1
layer_6.k_proj,6,k_proj,1.7321821451187134,0.5835691094398499,True,1e-06,541,302,105,2
layer_6.v_proj,6,v_proj,5.711631774902344,4.505159854888916,True,1e-06,973,876,669,210
layer_6.o_proj,6,o_proj,5.806439399719238,3.8720202445983887,True,1e-06,2724,2091,1294,262
layer_6.gate_proj,6,gate_proj,4.636439323425293,1.7516247034072876,True,1e-06,3717,3123,2005,212
layer_6.up_proj,6,up_proj,6.768211364746094,4.567739963531494,True,1e-06,3872,3491,2654,787
layer_6.down_proj,6,down_proj,7.349813461303711,5.385239124298096,True,1e-06,3957,3676,2998,1227
layer_7.q_proj,7,q_proj,1.853348970413208,0.589906632900238,True,1e-06,1467,679,150,2
layer_7.k_proj,7,k_proj,2.1475188732147217,0.8102317452430725,True,1e-06,547,300,102,5
layer_7.v_proj,7,v_proj,5.857675552368164,4.665388107299805,True,1e-06,978,889,694,240
layer_7.o_proj,7,o_proj,6.013551235198975,4.093911170959473,True,1e-06,2716,2124,1374,328
layer_7.gate_proj,7,gate_proj,4.324229717254639,1.5632109642028809,True,1e-06,3682,3045,1873,151
layer_7.up_proj,7,up_proj,6.742067813873291,4.659302711486816,True,1e-06,3869,3482,2634,755
layer_7.down_proj,7,down_proj,7.248010635375977,5.1294708251953125,True,1e-06,3932,3624,2914,1145
layer_8.q_proj,8,q_proj,1.651302695274353,0.5004303455352783,True,1e-06,1492,710,161,1
layer_8.k_proj,8,k_proj,1.8303496837615967,0.6379343271255493,True,1e-06,546,308,105,2
layer_8.v_proj,8,v_proj,5.720005035400391,4.594419002532959,True,1e-06,960,850,636,208
layer_8.o_proj,8,o_proj,5.979359149932861,4.054673194885254,True,1e-06,2792,2163,1369,312
layer_8.gate_proj,8,gate_proj,4.254100799560547,1.5290274620056152,True,1e-06,3678,3027,1838,138
layer_8.up_proj,8,up_proj,6.676344394683838,4.595461845397949,True,1e-06,3869,3470,2599,704
layer_8.down_proj,8,down_proj,7.344882011413574,5.561690807342529,True,1e-06,3940,3643,2948,1192
layer_9.q_proj,9,q_proj,2.555293560028076,0.8946086168289185,True,1e-06,1811,1009,333,9
